p_ar,ar_learning_rate,bd_learning_rate,val_nelbo,source,left_ar_lr,right_ar_lr,discrete_curvature
0.1,0.0027,0.0027,5.283082216978073,original_center,0.0009,0.0081,0.11328268051147461
0.2,0.0009,0.0027,5.271708548069,diagnostic,0.0003,0.0027,0.064456045627594
0.3,0.0027,0.0027,5.273543402552605,original_center,0.0009,0.0081,0.06447538733482361
0.4,0.0027,0.0027,5.289076030254364,original_center,0.0009,0.0081,0.04322023689746857
0.5,0.0027,0.0027,5.279514253139496,original_center,0.0009,0.0081,0.05005796253681183
0.6,0.0027,0.0027,5.296982645988464,original_center,0.0009,0.0081,0.06916265189647675
