budget,d_opt,fit_method,loss_min,n_fit_points,n_opt,n_points,realized_compute_opt,realized_to_nominal_compute,tokens_per_parameter
100000000000000.0,41910589.48630277,local_bracketing3_l2_quadratic_in_log10_n,5.542997347581036,3,258390.7315117417,4,87474416698432.4,0.8747441669843241,162.19850163007214
300000000000000.0,69864427.30178423,local_bracketing3_l2_quadratic_in_log10_n,5.287831325663319,3,439243.4599191845,4,258775117584166.28,0.8625837252805543,159.05627215175485
1000000000000000.0,98537842.97262551,local_bracketing3_l2_quadratic_in_log10_n,4.950688257552912,3,846384.6912474759,4,817512273179638.9,0.8175122731796389,116.42205251537786
3000000000000000.0,235972286.7562643,local_bracketing3_l2_quadratic_in_log10_n,4.703409403472477,3,1015465.6314924735,6,2429471468277479.5,0.8098238227591598,232.3784079323745
1e+16,324535207.7345354,local_bracketing3_l2_quadratic_in_log10_n,4.427001440706107,3,2128668.1992008793,4,7834884773502325.0,0.7834884773502325,152.45927376392842
3e+16,328006105.2671347,local_bracketing3_l2_quadratic_in_log10_n,4.110956296415779,3,6210998.964907423,6,2.3314787350607892e+16,0.7771595783535964,52.81052325405174
1e+17,645812130.2237272,local_bracketing3_l2_quadratic_in_log10_n,3.8454019966924875,3,10562832.319828033,4,7.763468357675526e+16,0.7763468357675526,61.140053223361335
3e+17,869190798.5938061,local_bracketing3_l2_quadratic_in_log10_n,3.649539969096793,3,23612108.908598803,8,2.325477883419437e+17,0.7751592944731457,36.81123113392356
1e+18,1530836253.839702,local_bracketing3_l2_quadratic_in_log10_n,3.4482311405294865,3,46117404.311183564,6,7.784605102772865e+17,0.7784605102772865,33.194328187036994
