budget,fit_objective,n_points,n_fit_points,n_opt,d_opt,parameter_token_ratio,tokens_per_parameter,loss_min,r_squared,l1_pseudo_r_squared,mean_absolute_error,vertex_clipped,vertex_outside_fit_range
10000000000000.0,lowest3_l2,4,3,27021.932390525755,30839146.560277496,0.0008762217961417739,1141.2635526795302,2.0421397549678897,0.3030839026376688,0.364335055858082,0.07654734845275446,False,False
30000000000000.0,lowest3_l2,6,3,43512.63818437177,57454571.92016257,0.0007573398727056192,1320.4111338116534,1.8921549374122666,0.9910429187041258,0.9320898140724803,0.009637383600901939,False,False
100000000000000.0,lowest3_l2,8,3,96651.8675299059,86220096.37583923,0.0011209900196422174,892.0686022870807,1.776077896908351,0.7805516832341466,0.6615910231356317,0.05705766785247254,False,False
300000000000000.0,lowest3_l2,6,3,262705.1705635568,95163715.07408796,0.0027605602656330984,362.2453066680879,1.6728072172151158,0.32542094211216965,0.43422302126673573,0.044725343229203594,False,False
1000000000000000.0,lowest3_l2,5,3,538410.1382043018,154776679.37543955,0.0034786257230541053,287.46984574185143,1.5655242835116177,0.979542844708854,0.8843097919762931,0.0034935156124387134,False,False
