budget,fit_objective,n_points,n_fit_points,n_opt,d_opt,parameter_token_ratio,tokens_per_parameter,loss_min,r_squared,l1_pseudo_r_squared,mean_absolute_error,vertex_clipped,vertex_outside_fit_range
10000000000000.0,l1,4,4,22980.80683064754,36262144.296082236,0.0006337409791050439,1577.9317307398674,1.9936925809089452,0.9809884926486989,0.8950103979943623,0.012642942988605799,False,False
30000000000000.0,l1,6,6,39315.39920095078,63588315.28638126,0.0006182802457320484,1617.3895363840916,1.8929473038262756,0.9956561488190728,0.9389173363103432,0.008668464874627172,False,False
100000000000000.0,l1,8,8,88467.05649222151,94197022.75350423,0.0009391704101277494,1064.7694914749031,1.7578225972730728,0.9134851931223423,0.7771432384192036,0.03757491068580929,False,False
300000000000000.0,l1,6,6,170632.62622418618,146513597.97483087,0.0011646197252865133,858.6493756612147,1.6724351246800442,0.8904449565313177,0.7340386234779401,0.02102456320738455,False,False
1000000000000000.0,l1,5,5,551997.5424440912,150966855.69351736,0.0036564154423717947,273.4918982158475,1.567170432130709,0.9991259265591005,0.9759831596662807,0.0007252403474812929,False,False
