budget,fit_objective,n_points,n_fit_points,n_opt,d_opt,parameter_token_ratio,tokens_per_parameter,loss_min,r_squared,l1_pseudo_r_squared,mean_absolute_error,vertex_clipped,vertex_outside_fit_range
10000000000000.0,l2,4,4,22415.037027779694,37177423.90077499,0.0006029206619480817,1658.593017477499,2.0170103018054277,0.9897213002167142,0.8677226925311724,0.015928953201716722,False,False
30000000000000.0,l2,6,6,40713.179416775856,61405177.28688797,0.0006630251912890326,1508.2383190536573,1.8891236972947425,0.9974110332142114,0.9366567994581909,0.008989265951676484,False,False
100000000000000.0,l2,8,8,79608.6000613788,104678807.6527947,0.0007605035044479074,1314.918332593295,1.7368209231891925,0.9636757242052922,0.7480273477186712,0.042484014564237754,False,False
300000000000000.0,l2,6,6,191755.55242357095,130374321.28576505,0.0014708076754107544,679.8985460289556,1.6532036195683038,0.938325848707841,0.6982887384287343,0.023850634149348626,False,False
1000000000000000.0,l2,5,5,552617.230886264,150797565.9747107,0.003664629646468829,272.87887084676674,1.5668273061865294,0.999212023932885,0.9712981850048542,0.0008667132724864857,False,False
