budget,d_opt,effective_n_opt,fit_method,loss_min,n_fit_points,n_opt,n_points,parameter_token_ratio,support_rmse,tokens_per_parameter
100000000000000.0,43534824.518042214,191417.63922534557,local_bracketing3_l2_quadratic_in_log10_n,5.634611688373752,3,248960.1622860859,7,0.005718643983115377,9.282491429618472e-14,174.86662973819617
300000000000000.0,84903174.72291337,294453.06470092555,local_bracketing3_l2_quadratic_in_log10_n,5.260113821397738,3,378986.8641465916,8,0.004463753745174289,1.503935499763765e-13,224.0266952631713
1000000000000000.0,99215608.55431607,839921.6065656856,local_bracketing3_l2_quadratic_in_log10_n,4.991738140537336,3,840603.864274563,8,0.008472496178001774,9.845568954283847e-14,118.02897032829922
3000000000000000.0,203502268.02063072,1228487.536928362,local_bracketing3_l2_quadratic_in_log10_n,4.691969624915089,3,1177886.4316981817,6,0.005788075205032946,7.152640018897452e-14,172.7690060299256
1e+16,360117171.11113894,2314061.64488655,local_bracketing3_l2_quadratic_in_log10_n,4.46027658816692,3,1973086.869577906,5,0.005479013576303403,1.8346134549116834e-14,182.51460524299026
