budget,fit_objective,n_points,n_fit_points,n_opt,d_opt,training_flops_per_clean_token_opt,effective_compute_parameters_opt,parameter_token_ratio,tokens_per_parameter,loss_min,r_squared,l1_pseudo_r_squared,mean_absolute_error,vertex_clipped,vertex_outside_fit_range
10000000000000.0,lowest3_l2,5,3,6542.960668077276,21164419.732309017,472491.10188144096,39374.25849012008,0.00030914906956267614,3234.6854590719136,2.2781700098337243,0.5510619662758647,0.5545375801267557,0.03466348978438978,False,False
30000000000000.0,lowest3_l2,5,3,23563.979120932825,25481397.10228304,1177329.479995903,98110.78999965859,0.0009247522428360719,1081.3707214520018,2.0777188950242227,0.9867586885726936,0.9082267301518684,0.016358072953990544,False,False
100000000000000.0,lowest3_l2,7,3,50547.82650253656,50718507.100117534,1971666.8671378985,164305.57226149153,0.000996634747208863,1003.3766159574122,1.8858558457616592,0.39512446785769584,0.26742751074935467,0.09520373753233992,False,False
300000000000000.0,lowest3_l2,8,3,173869.42837105933,60408117.081271715,4966220.0130553115,413851.6677546093,0.0028782461161161394,347.433805052566,1.7531452250484545,0.6291047231930366,0.4786832397414216,0.06386094082165825,False,False
1000000000000000.0,lowest3_l2,6,3,462329.4264978506,90395405.09579358,11062509.194358747,921875.7661965623,0.005114523531455079,195.5216343907407,1.6116807424664357,0.7599759907402068,0.6097210257922501,0.021996407320977112,False,False
