budget,fit_objective,n_points,n_fit_points,n_opt,d_opt,training_flops_per_clean_token_opt,effective_compute_parameters_opt,parameter_token_ratio,tokens_per_parameter,loss_min,r_squared,l1_pseudo_r_squared,mean_absolute_error,vertex_clipped,vertex_outside_fit_range
10000000000000.0,l1,5,5,7316.175012530849,19399754.15796793,515470.44970633136,42955.87080886095,0.00037712720238395014,2651.6252173766775,2.298706502144844,0.9716528705318999,0.8693868856552776,0.010163610111227595,False,False
30000000000000.0,l1,5,5,23128.843424240407,25783245.809652824,1163546.2897680823,96962.19081400686,0.0008970493317633946,1114.7658936819316,2.07787797285914,0.9978963016111236,0.9697137131149153,0.005398361540256147,False,False
100000000000000.0,l1,7,7,49974.16251261308,51168650.69788058,1954321.6136465764,162860.13447054804,0.0009766558592228624,1023.9021151173073,1.894641331258983,0.9885576783805834,0.9046773046491967,0.012387957508936826,False,False
300000000000000.0,l1,8,8,124617.3491096178,76182349.49320158,3937920.029977175,328160.0024980979,0.0016357771838047407,611.3302043216222,1.7402867997388523,0.9114965228129783,0.7768835053766059,0.027331615527597913,False,False
1000000000000000.0,l1,6,6,332478.6691703366,119947336.92884456,8336992.096733439,694749.3413944532,0.002771872037205548,360.7670147025063,1.630986600516036,0.9400525555192225,0.8328534372050806,0.009420502052414478,False,False
