budget,fit_objective,n_points,n_fit_points,n_opt,d_opt,training_flops_per_clean_token_opt,effective_compute_parameters_opt,parameter_token_ratio,tokens_per_parameter,loss_min,r_squared,l1_pseudo_r_squared,mean_absolute_error,vertex_clipped,vertex_outside_fit_range
10000000000000.0,l2,5,5,7038.14674500193,19994511.22204481,500137.25711757183,41678.10475979765,0.00035200394082362315,2840.8772858059137,2.296125105643288,0.9786901932239174,0.8437929927485651,0.012155189211361429,False,False
30000000000000.0,l2,5,5,22592.868539835566,26168031.92014875,1146436.9996010563,95536.41663342137,0.0008633766807063395,1158.243003716393,2.0795992990908303,0.9984935002777139,0.9589055426625012,0.0073248575782891125,False,False
100000000000000.0,l2,7,7,51891.1845888157,49699026.031812035,2012111.8658540838,167675.98882117364,0.0010441086824438063,957.7547019908244,1.892458463074707,0.989747805750026,0.8860988515743585,0.014802378192551416,False,False
300000000000000.0,l2,8,8,111737.97960635046,82335922.7390146,3643610.1038295166,303634.1753191264,0.0013570987715839833,736.8660416904044,1.73378054500429,0.9527857947673727,0.7556212122040296,0.029936231664154017,False,False
1000000000000000.0,l2,6,6,346887.37083369726,115773952.19275266,8637521.489592882,719793.4574660735,0.002996247120044435,333.75084228205105,1.6169372210239672,0.9690533056502301,0.8093701288081646,0.010744038422241364,False,False
