budget,d_opt,effective_n_opt,fit_method,fit_x_max,fit_x_min,l1_pseudo_r_squared,loss_min,mean_absolute_error,n_fit_points,n_opt,n_points,parameter_token_ratio,tokens_per_parameter,x_max,x_min
100000000000000.0,45679699.95354037,182429.6863116209,lowest3_l2_quadratic_in_log10_n,5.702678633842677,5.139324850082506,-0.26622467283089857,5.678398062270233,0.543914549255652,3,237286.31582820482,5,0.005194568179509553,192.50878329879103,6.297877765718518,5.139324850082506
300000000000000.0,79334982.393141,315119.5001987094,lowest3_l2_quadratic_in_log10_n,5.984941158509398,5.458523029046602,0.7257282289089108,5.431026850047154,0.16149911725611027,3,365673.8642376225,7,0.004609238613371612,216.95557203286336,6.901964575961948,5.139324850082506
1000000000000000.0,95271273.02980325,874695.2851912095,lowest3_l2_quadratic_in_log10_n,5.984941158509398,5.458523029046602,0.6898968695011404,5.023868714318262,0.1317315344588117,3,875399.6270223855,6,0.009188495116975486,108.83174962486818,6.901964575961948,5.458523029046602
3000000000000000.0,208856834.33800617,1196992.1922469113,lowest3_l2_quadratic_in_log10_n,6.593314428183002,5.984941158509398,0.8635759464980437,4.725430898912137,0.04268339860952608,3,1152016.1817783222,4,0.005515817499723001,181.29678874440987,6.901964575961948,5.984941158509398
1e+16,270000967.312284,3086408.695601069,lowest3_l2_quadratic_in_log10_n,6.901964575961948,6.297877765718518,0.9999999999999516,4.444794419264689,4.736951571734001e-15,3,2560700.358570015,3,0.009484041424223124,105.44028176067503,6.901964575961948,6.297877765718518
