budget,d_opt,fit_method,loss_min,n_fit_points,n_opt,n_points,tokens_per_parameter
100000000000000.0,28210208.26371963,local_bracketing3_l2_quadratic_in_log10_n,4.888840304325029,3,539211.4483249827,6,52.31752469527936
300000000000000.0,52646141.98326567,local_bracketing3_l2_quadratic_in_log10_n,4.556912663481739,3,874284.5439587202,6,60.21625607709632
1000000000000000.0,80202102.64528705,local_bracketing3_l2_quadratic_in_log10_n,4.177342319089632,3,1884743.9269087643,7,42.553315333839215
3000000000000000.0,128487516.38357651,local_bracketing3_l2_quadratic_in_log10_n,3.849756231716782,3,3550777.8859248823,4,36.18573746696323
1e+16,198647659.8342461,local_bracketing3_l2_quadratic_in_log10_n,3.568699626552643,3,7747551.331405332,4,25.640057269322188
3e+16,370631686.063093,local_bracketing3_l2_quadratic_in_log10_n,3.3724877062918743,3,12559386.676739622,5,29.510333235421005
1e+17,786586548.9749814,local_bracketing3_l2_quadratic_in_log10_n,3.1759318394865375,3,19830696.346363876,6,39.66509976434633
3e+17,912891346.4339168,local_bracketing3_l2_quadratic_in_log10_n,3.0153034784296935,3,52042448.923073,7,17.541283420065707
1e+18,1686720750.731916,local_bracketing3_l2_quadratic_in_log10_n,2.799685814262233,3,94696633.94170119,4,17.811834280934683
