size,n_params,predicted_compute,total_steps,clean_tokens,selected_lr,baseline_val_nelbo,optimal_p_ar,minimum_val_nelbo,best_gain,best_nonzero_p_ar,best_nonzero_gain,best_compute_ratio
0.14M,137824,37042172463604.83,1794,29392896,0.0081,6.18949119746685,0.1,5.978898838162422,0.2105923593044281,0.1,0.2105923593044281,0.9734759319759138
0.29M,287424,154846908300769.88,3552,58195968,0.0081,5.526666224002838,0.2,5.512826576828957,0.01383964717388153,0.2,0.01383964717388153,0.944377154812314
0.5M,504288,462450083468739.06,4668,76480512,0.0027,5.2814222276210785,0.1,5.186984986066818,0.09443724155426025,0.1,0.09443724155426025,0.9597407729372883
1M,965920,1638282511134106.8,8633,141443072,0.0027,4.849006280303001,0.0,4.849006280303001,0.0,0.2,-0.02744750678539276,1.0
